id,order_number,order_date,payment_type,amount,customer_id,status
1,ORD-2024-000001,2024-03-21,apple_pay,1191.53,CUST-1965,refunded
2,ORD-2024-000002,2024-10-22,credit_card,1418.38,CUST-5357,cancelled
3,ORD-2024-000003,2024-03-12,debit_card,798.16,CUST-7466,cancelled
4,ORD-2024-000004,2024-11-08,paypal,1865.66,CUST-6803,pending
5,ORD-2024-000005,2024-11-18,paypal,697.68,CUST-2996,pending
6,ORD-2024-000006,2024-10-29,paypal,411.64,CUST-3968,pending
7,ORD-2024-000007,2024-05-13,credit_card,969.24,CUST-5752,cancelled
8,ORD-2024-000008,2024-08-22,paypal,387.49,CUST-4668,pending
9,ORD-2024-000009,2024-08-08,debit_card,1454.34,CUST-5324,completed
10,ORD-2024-000010,2024-12-17,debit_card,17.05,CUST-5215,completed
11,ORD-2024-000011,2024-04-01,apple_pay,420.91,CUST-6603,completed
12,ORD-2024-000012,2024-01-19,credit_card,1132.96,CUST-9829,refunded
13,ORD-2024-000013,2024-06-16,paypal,1985.22,CUST-3638,pending
14,ORD-2024-000014,2024-03-04,debit_card,85.0,CUST-3015,pending
15,ORD-2024-000015,2024-01-27,apple_pay,1870.83,CUST-5252,pending
16,ORD-2024-000016,2024-12-30,bank_transfer,675.16,CUST-4839,refunded
17,ORD-2024-000017,2024-05-22,paypal,1911.46,CUST-3676,pending
18,ORD-2024-000018,2024-08-24,paypal,1501.43,CUST-3623,processing
19,ORD-2024-000019,2024-10-25,bank_transfer,211.22,CUST-6290,cancelled
20,ORD-2024-000020,2024-02-29,paypal,213.5,CUST-3556,processing
21,ORD-2024-000021,2024-07-09,apple_pay,1529.46,CUST-2697,processing
22,ORD-2024-000022,2024-07-20,credit_card,133.34,CUST-4795,refunded
23,ORD-2024-000023,2024-01-02,credit_card,724.54,CUST-9177,processing
24,ORD-2024-000024,2024-09-18,bank_transfer,558.59,CUST-1262,processing
25,ORD-2024-000025,2024-03-05,bank_transfer,559.37,CUST-6290,processing
26,ORD-2024-000026,2024-11-09,apple_pay,999.99,CUST-4770,processing
